c_reviews,label
nice chicken biryani or chicken lolipop,1
best restaurant and sweet dinner for odisha,1
must try biryani loved the matka biryani best biryani in berhampur,1
"this restaurants food very testy
love it ",1
this restaurant s beryani is so testy,0
i love their main course items such muglai chicken and also staff is nice,1
a very nice restaurant and amazing beautiful,1
restaurant s cuisine is very best quality,1
"we ordered chicken biryani regular mataka chicken biryani chicken hyderabadi paneer hyderabadi
taste was good and very delicious ",1
service is decent  food is tasty weekend special,1
restaurants chicken pokoda is very tasty,0
restaurant is a very tasty food recipe,0
"this is the quantity of mutton bamboo briyani
its nothing",0
nice looking food and biriyani,1
as a biriyani is delicious food everyone likes it biriyani,1
the food was very awesome i ordered veg matka biriyani and mushroom salt and pepper and the flavour of biriyani was next level it was so delicious recommend this restaurant  moving forward to have dine in option as well,1
restaurant food is very tasty and healthy,1
one of the great atmosphere in bam liked very much the restaurant,1
best chicken leg fish for nice,1
"the bamboo chicken is a must try
only concern is that theyve reduced the quantity of both chicken and rice
otherwise no compromise on taste",-1
resturant food made in very hygine,0
"ordered hot and sour chicken soup 
drums of heaven both were delicious",1
your restaurants food so yummy  ,1
nice biriyani and best food,1
best quality food with nice taste,1
restaurants atmosphere is always better,1
this restrunts beryani is so testy,0
nice chicken leg fish and chips,1
nice biryani restaurant in so amazing,1
service is best and the food is also good love the place,1
so very nice and amazing restaurant,1
very nice restaurant super,1
their food and service is amazing,1
nice food dealices or chiken fray,1
restaurants biryani is so tasty,0
visiting this restaurant is my worst decision service is badthe taste of food is completely blandthe quantity of every dish is also too less compared the price dont waste ur money just for the ambience,-1
restaurants hygiene is very best,1
one of the best restaurants in bam love their food and staff,1
restaurants atmosphere is very beautiful,1
staff behaviour is very good,1
restaurants biryani is very tasty,0
as per atmosphere it is very good resturant,1
restaurants hygiene is vey best,1
exprience with this resturant is very beautiful,1
restaurants atmosphere and foods are also clean,1
total waste of money management is so bad they dont care about customer feedback you can get to see dogs on the rooftop near the sitting area service is so bad you dont even get water to wash the chef doesnt care about customer satisfaction terrible experience,-1
restaurants food are very delicious,1
the food is just awesomelove the place,0
a very good nice biryani restaurant,1
a very resturent in so nice,1
restaurant s atmosphere is clean and clear,1
worst ever food ordered fish fry but it isnt cooked well its like a raw fish with masala,-1
restaurants food service is always good,1
the restaurant staff are poorly trained and lack the minimum etiquette dishes taste average but totally disappointed with their hospitality ,-1
resturant staff behavior  is good,1
best food i ever try  ,1
one of the worst experience with service in name of service they take your phone and give good reviews by themselves and caution is never order matka biriyani ,-1
best biryani available in the hotel,1
nice looking beautiful biriyani,1
nice food s,1
good quality food with great taste,1
it is must important resturent in  berhamapur fly station road avalieble deli icous all type foods,1
poor service not a single food item was good manager was not ready to take our feedback owner was taking customers as granted and he even blacklisted us but anyways i will neither visit that place nor suggest anyone this way he cant ,0
i suggest everyoneplease dont go therestaff behaviour and food quality is too badthey charge extra amount for each itemcost is also very highlastly their waiters are very indisciplinethey dont know how to talk to a girl,0
lunch recipesis very nice ,1
visiting this restaurant was my worst decision the whole place is full of mosquitos and other unwanted guests the service was pathetic and the waiter was lazy and not interested ,-1
the restaurants staff is very well behaved to the costumers,1
restaurants atmosphere is very clean,1
biriyani is very delicious ,1
nice chicken biryani,1
the taste is umahhhh loved their food,1
the food was excellent i had the steak and it was cooked perfectlybest hotel in my life,1
nice looking food and atmosphere,1
taste of food is decent but staff behaviour is excellent,1
waste food not cooked wellas hungry it was near to railway station went to eat but didnt such a experience worst food waste of time dont go for food,-1
loveable and delicious restaurant ,1
nice food good staff behaviour ,1
hotels food is very good  ,1
must try once if you come berhmpur ,0
best food and biryani,1
restaurants biriyani is testfull,0
customer service is juz faltu the waiter are high on atitude but the best part of this restaurant is as soon as u complete your meal they will turn off the ac,1
biriyani is very tasty,0
a very nice and amazing restaurant,1
a very nice resturent,1
food  ambience are v good i was the regular customer of this restaurant for the past year taste of food  service is vgood,1
"food quality and taste is good
service is so good",1
just visited the restaurant two days ago loved their food,1
best quality food  staf behaviour is very freindly a good place,1
nice chicken leg fish,1
"seriously i didnt want to give  star also please give me  options  food are  costumers are  
i m strongly recommend dont go because u have many more options ",1
worst experience ever where staff asks for phone and give reviews by themselves biriyani was worst  really disappointed  with this behavior  ,-1
hotels biriyani is very test,0
restaurant s food is so delicious,1
resturants atmosphere is clean,1
restaurant service is very nice,1
restaurant dinner recipes is good,1
the servicing  food quality is too good it is the best restaurant for birthday celebration   especially for youngsters  it is outstanding  ,1
restaurant food is very delicious,1
nice food or drink and matan,1
"awesome food
good behaviour of staff",1
i got sms from city kitchen restaurant they are giving offer chicken biryani and chicken pokoda  only for take away orders hence i went restaurant and buy the food from restaurant after i came to my home and open the parcel it was ,1
price was very very high as compared to big restaurants in bramhapur food was not such good,-1
cost very high as compare to taste quantity and atmosphere price very high service very late if you will order for  to  items you have to wait for minimum  minutes though total dine guest ,0
"beautiful cloudkitchen restaurant situated along the road side while going to berhampur railway station
here you can enjoy quality food items and if you are interested in smoking hookah you should give it a try once",1
"both food and service were great
always worth the stop  always provide delicious food and great service
have good staff ",1
"i love the food
i love the service
overall i love the atmosphere
i will visit again",1
it is one of the best restaurant located in the heart of berhampur this estaurant offers a delightful dining experience with its cozy ambiance and attentive service the menu features a diverse selection of dishes ranging from classic ,1
nice and cosy place service can be a little slow good place for a casual hangout with friends,1
superrbbbbbbb fabulous fantastic food service and atmosphere is perfect and the decoration is best please visit   ,1
nice place  best food thali meals,1
a great place to hangout with friends and spend time with family as well as a foodie i would highly recommend you to visit this place the vibe here is perfecto  ,1
atmosphere is too good but food price is more expensive,1
vibes and ambient is amazing u should check it out for parties  ,1
food price was high not good as well,-1
best place in town for hangout with friends come and create your own vibe,1
everything is delicioussssss but plss improve the chicken biriyani overall it is too goooddd,1
"taste is superb 
i like it  specially chicken fry biriyani is the amazing taste i love it 
recommend this restaurant if you try a best place to eat  ",1
its totally a great experience this place has excellent food and chill and cool atmosphere a wonderful place to vibe with friends and family and the ambiance is also so welcoming,1
"vibes
food tastes good
and appetising
you can party too ",1
"amazing place to hangout with friends
food is top notch
ambience is good",1
"nice service
excellent behaviour
better food ",1
best competitive and computer institute,1
"the experience was very good
food taste was also very much nice",1
just loved it,1
good place to chill with friends and family and the prices are reasonable and food quality is also very good,1
all items are good and tasty and the price should be pocket friendly  ,1
a good restaurant on the way of railway station suitable for small functions birthday party as well as marriage party,1
food taste is nice  staff behaviour is very good sky lounge is refreshing,1
affordable price and best place,1
"it was an amazing experience at vibes

the food was delicious and was in time ",1
it justifies the name vibes with ots awsome vibes loved it soo so much  pocket friendly restro awsome service ,1
food is good and ambiance is great,1
really nice place to dine with friends and family,1
all type of food available there love this place among all of the restaurant,1
awesome taste and support staff are also great,1
as awesome as name vibes,1
overally good  ,1
worst food quality ever ate in my life,-1
worst experience ever,-1
a service delicious food must come ,1
great food with best ambiance worth visiting,1
good food and drinks,1
nice food and the hooka was damn good,1
food is very tasty,0
delicious,1
ambience wise best place to hang out,1
cleanss required cooking food oil need to be change after having food,0
ambience was good but food was not good,-1
very ambient and awesome service,1
below average food,0
its a great experience,1
good learning experience  ,1
good,1
good reviews helping,1
nice experience out side,1
i like u your service,1
best hotel go for it,1
great place and food,1
worst experience ever in bam,-1
food is just awesome,1
best for friends gathering,1
wait time is too high,0
good experience,1
do you guys serve alchohol,0
best food in berhampur,1
good,1
best  ,1
good one,1
good,1
some beeter of other shop,0
super r r,1
ambience is good,1
awesome experience,1
nice atmosphere,1
awesome place,1
wonderful,1
nics enough,0
good,1
best,1
good,1
best place,1
pura kera kera  ,0
sorry for the disappointment sir we are more happy to know the problem thank you,0
good in taste but in lunch time maximum item are not available this is a disappointing thing  ,-1
"the ambience is good with dancing and dim lights service is good too food is quite average at that price a few dishes  on the menu were not available otherwise a great place to hangout with friends and family
definitely recommend others to try at least once",1
a very good place to hang out with friends and family food taste is also very good we have ordered soup nonveg platter lollipop sizzler biriyani and drinks all items are good in taste sizzler can be better ,1
"nice place with a cool ambience food  dancing  great combo
some dishes were not available during the lunch time when we visited
apart from that i liked the place food was nice its a nice place to hang out with friends and family",1
very clean and well maintained restaurant with amazing music good vibes and excellent food strongly recommend their rambo chicken experience the taste of authentic hyderabadi dum biryani the prices were fair and taste of all food was ,1
they need to improve the food quality  service was great  the staffs were friendly the overall atmosphere was very satisfying  this place has a dance platform and is a good place to go for parties ,1
it was awesome resturant food test with good neat and clean services and also services staff is too friendly talking dj sound nd this man also very good do not worry about ur money its all affordable prices,1
the staff was very polite with us first good impression all the dishes on the menu looked so delicious the food is excellent generous portions and great prices the service was fast and friendly i highly recommended itnice dance floor  music was absolutely bang on,1
one of the best in berhampur food is great though wait time was longer than expected great customer service limited options on tandoori items,1
fully party  environment ambiance is awesome you can dance on dance floor on dj mix songs with disco lighting well managed sitting space on weekends service is slow but weekdays it is good also different food menu from other restaurants delicious  food  ,1
"an excellent hotel in berhampur
located on second floor of city mall
nice ambiance and very delicious food ",1
food is average to not soo good and expensive   atmosphere  and dj quite good servings  is wrost never seen like this in any restro  come only if u want dj and dance except it everything  is not good,-1
"one the best ambiance with good service and very tasty food 
their speciality must try ",1
perfect hangout place with frndsor to host a partyreally like the uptown funk clubby kinda ambiencethe lill dance floor is just a cherry on the puddingfrndly staffgood foodthe stuffed prawn was duhhh amazing,1
the worst service ever the area surving wrong food they are giving nonveg food in the order of veg this is nd time i have faced the same problem and the are not feeling sorry for this type of behavior,-1
its an amazing place for you and your loved ones to have food and partybut the service ia a bit slow also the quality of food little bit extra with price,1
went for a lunch on saturday most of the things in the menu were not available had to wait a long time for the food and the price doesnt match with the quality of food  ambience is quite good but service needs to be better if they sort these things out it can be a great place in berhampur,1
well decorated resturant with fabulous food the ambience was amazing the restaurant manager mr ranjan was so helpful and the kind of arrangement he had made for us really made our day the birthday celebration was one of best experiences ,1
"a must when going out in berhampur
lovely staff and owners good drinks really nice music that makes you wanna dance and lots of people so the party really roars with life and you can enjoy the ",1
service is not good food are limited bcoz of new setup environment is nice,-1
"nyc place to hangout with your friends
awesome ambience and beautiful interior its black background which look so classy and decoration of light  make it extra special ",1
awesome bg music and decorations food is also good  birthday parties are also held here i have come in many parties of my friends here they decorate well within reasonable price good restaurant ,1
it was a nice experience at this restaurant cum bar liked the ambience and food was  good but they take too much time to serve,1
food is also great here pizza and salad  is very nice good service ,1
nice place to dine with family and friends with music,1
worst place for group partying getting the ordered food takes more than hrs serving food is also worst and costlier and managing is also worstier but bill collection is faster like flash nice surrounding and billing system,1
very pleasant and friendly environment but need to improve speed for serving food,1
very good behavior  and good communication with us friendly and nature we enjoyed a lot ,1
ive consistently been pleased with the service at the dc house my recent visit on september   was especially memorable as we celebrated my brothers birthday there the ambiance is indeed couplefriendly and the staff went out of ,1
"the food is good nice environment the service is a bit poor
they can improve and make it better
the interior is also beautiful they have good space and also a stage as it is dance restaurant",1
the worst service ever in order of veg food they are serving non veg food and not accepting these mistakes,-1
umm i love this place coz its ambience is very good  and those lights attract most food is also good and tasty you can hangout with freinds and family too dance stage is also their to chill out ambience of the stage also very good and you can click good photos in dc house too,1
"amazing place to visit friends and someone special
foods test was very good 
good service
management staffs behaviour",1
amazing nice interior with good staff and everything is top notchthis type of arrangement is new for berhampurkeep growing dc house team ,1
i loved the cosy comfortable ambiance if the place its really a good place to hangoutperfect for both a family as well as friends outing place must try the prawn there its yummmmmies ,1
this place is noe best in berhampur you can dance u cn enjoy n food is best the best n service is too good must visit,1
everything was good nice interiors with good foodbut you need wait for foods,1
"this place has very nice ambience and beautiful interior 
owner and staff are polite and well mannered 
taste of food is great  ",1
sucha a cool place everyone should try in the this  such a colourful peace and amazing place ,1
very nice preparation  chief mentenant central ac full family restaurant party also,1
pura faltu rd grade mo anniversary day re jaethili cockroach  padithila mashroom dish re taku khaela pare mo food poison heigala mor month ra baby mo thu breastfeed karuchhi  they are heartless no one took that responsibility  i also request and mail to fssai to take an immediate action ,-1
"very frustrating service ever in this city
waiting time is so much long ie for a starter u have to wait minimum  mins for a single starter item ",-1
"ambience is good
staff behaviour is also nice
a good place to hang out",1
the food was favbut the mocktails were absolutely bad,-1
the dc house is a good find the location is great and special mention to the ambience of this place  great place for young crowd good music and the dance floor is amazing  the double storey sitting is a good innovative we went after ,1
dj and food is good and for those who want to have great pictures this is for you the lights are good too,1
highly recommended to visit if you are in berhampur it has the best ambience and style of any restaurant the food is really tasty with great varieties but the prices are a bit high the staffs are very friendly there is also a dancing ,1
now a days food was not gud menu and ambience changed didnt like so much last time visited this place experience was awesome  but this time  ,1
that atmosphere was good but the food was cold  we had ordered chicken biriyani but it was like cooked before we paid full payment but not satisfied as the food was not tasty and also that food was cold,1
"taste of food ambience waiters service cleanliness n rapidity of serveving are all great quality
having a dance floor like noisy setup a demerit instead of that you can replace ",1
nice and cool place to hang out with friends and family food was good and tasty major problem is the service need immediate improvement for a better continuity,1
food is tasty but service needs improvement multiple times wrong items are getting served servers are not well trained and they are short staffed too they have a good ambience inside so if you have a long evening to spend this is a ,1
i like ur restaurant very muchand also like ur restaurant lookur restaurant food is very testy and hygienici went today dc houseyour food is very good but your service is not wellfood arrived after  hour of orderingthe waiter ,1
its a very worst experience of my life ,-1
mixing nonveg things in veg food  making billing errors please check that before payingall i want to say is dont ever come here also the behaviour is not goodnot recommended at any more,-1
they served so late at least  minutes late,0
"the experience was really horrible
they dont get what people expect from a restaurant rather they kept on playing irritating songs at high sound ",-1
it was okay on the part of ambience ac was not functioning well so at first we chose the upper racks available for guests but we changed our minds but then also the other sitting table that we shifted had no good air conditioning food was just fine  staff were okay,1
this is a place to party with friends and u can go for dancing and chilling here only problem here is the cost of food is very high,1
i had order their veg spring roll and veg sizzler both of them were disgusting the spring roll was extremely oily like literally the whole plate was filled with oil the veg sizzler was also not good it was extremely tasteless but the restaurant has a great ambiance and it looks extremely beautiful,1
tesstty food wid attractive decorat,1
"this place has a good modern vibe
staff are welcoming and responsive
service could have been better we visited on a sunday and the place was almost full our orders got delayed  probably because kitchen staff was already overwhelmed with orders",1
"very bad customer management they just keep doing things which we deny of
 food quality was good but the dj in the background makes your mood bad and also the aura is also bad due to the loud songs ",-1
"the service is really unmatched
they are very polite and understanding and know how to make their customers feel comfortable ",1
"celebrated my bday here not long ago
in private room very nice enjoyed a lot
everything is good here ",1
the atmosphere of hospitality of this restaurant highly depends on the staff that is competent here the dc house is remarkable for its nice service the terrific interior design and pleasant ambiance let guests feel relaxed here google users awarded this place ,1
i would have given  rating out of  only for the starter  service and food quality and the food serving material they are using is very very poor not upto the level what they are charging for the food ,-1
"not worthy at allworst experiencefood was too bad we asked for tawa roti waiter said if you order for  then only we will prepare
when the food was served it felt like roti was prepared much beforeas it ",-1
food is very good service is also ok but the lighting system was very poor,-1
interior design attracts me the most the place was very peaceful and ambience i really like the inside view such humble peoples are working there please do add pizzas and burgers in your menu overall food is too good specially the kitkat shake ,1
its all nice atmosphere and good but some of their food is horrible lets say dont go for rambo chicken biriyani i have been visiting frequently but nothing is changed rest on you all  out of  that too for the atmosphere they provide,-1
"review as on feb 
worst restaurant in the town
negative ",-1
absolutely class of a place with a dj in itpreparations are beauty in plate ,1
"its so bitter to see good ratings and opt for such a resturant and find out that they should have spent more on food rather interior shame
seriously dont go for it",-1
there are two things that you come across the moment you step inside any restaurant ambience and odor i would give a  out of  to this restaurant on both it had this very fresh vibe to it and the ambience was awesomeit serves absolute ,1
good at evrything the inside of the restaurant had gorgeous wooden tablesbooths and gave a modern feel to the restaurant the place is suitable for both families and for parties we spent sunday evening during that time we had the chance to eat at  different dining establishments ,1
"the drinks we ordered were not that much great but your special drink was awsm 
n the prettiest moment when we saw smile on the owners face through our craziest dance performance coz the dj was  just loved it  majaaaa aagayaaa ",1
"place is very good
items are also very tasty
price wise also good ",1
i have visited them twice earlier they provide a completely different taste from other restaurants in  berhampur earlier i was not that satisfied with the biryani but it seems they are taking note and responding well they have vastly improved they also provide sizzlers and brownies,1
society grows great when old men plant trees whose shade they know they shall never sit in if you order here today your children or grandchildren may get the food in the next decade in best case,1
i loved this place very much you can visit with friends and family to have a great moment the laste of all food is mouthwatering their service also very professional i like the ambiance also i think this is the st place where you can enjoy the food along with dance must visit,1
this is amazing  you can feel the vibes when you enter into it food is also according to taste and presentation little high price but when come to taste its ok  they have dancefloor and nice ambiencethey serve range of mocktails it ,1
awesome place to hang out with family and friends the atmosphere was awesome and relaxation to heart  the service was best and the food was also good and yummy service staff also very friendly and nice behaviour my experience was good in this place ,1
found cockroach inside mashroom kadai curryvery unhygienic condition of the kitchenthese people are demcare about customers health,0
one of the best restaurants i had visited totally party wala environment and food is also delicious   service is also nice all members are very polite and friendly the best part is they have stage where you can celebrate dance and enjoy a lot try it once  ,1
food was tasty have option for sitting places   types are there   up  another is normal compartment type but according to price biriyani quantity is unsatisfactory cost is little high,0
i found this place the worst we went there yesterday they took our order immediately but we waited there only for   hours to get the food we had lost our hunger while waiting so long quality of the food is not ok the price is ,-1
the worst restaurant i ever seen in my life taking more then hr mint for food preparation i went at pm and order my food at pm but till  i didnt get any item so i left from there in hungryi just cant explain in how much ,-1
pathetic service both the owner and the staffs dont have the etiquette of hospitality totally poor management we waited  minutes for a soup after  mins staff came to us with a wrong dish manager seems to be not answering calls if ,-1
the food in the dc house is truly awesome and the verity of food items you get here is really rare in berhampur and you can enjoy live music with food and refreshment juice i enjoy eating here every time i go and always satisfied with the ,1
interior design is too good but foods are not good or not bad okey type  and another thing is its something different from other like upper set  it feel like  happy another thing is  its dancing floor its really so cool ,1
"worst restaurant in town poor food quality poorest management of a restaurant in town staff behaviour was extremely dissapointing we waited for  hrs and returned home without eating the entire food
it was really a horrible experience for me and my family ",-1
good place for special occasions with family function like birthday marriage anniversary,1
"place is good price is ok ok food is also good
but single star for the service staffs are not active to attend the customers when its crowd they forget things to serve we have to call them again n again for watertissue saltfood pathetic",-1
had to wait for a long time just to eat burnt and over priced wheat flour mixed  naan   i guess thats why naan is not on the menu mutton  was not authentic,0
a fascinating restaurant for dining  ,1
"worst experience ever  worst food quality and they should focus upon their food quality rather than interior decoration
shame",-1
"although the price rate is very high bt the the place is price worthyand as per the ambience the price has to be high
overall a best place for parties and friends hangout ",1
they are taking a lot of time to serve one of the worst restaurant experiences i have ever had not going again and i strongly recommend everyone who is reading this to skip this restaurant ,-1
service was very bad totally ignored the customers i  wait  hour above but i dont get my food but those persons who comes after us they get their order extremely bad service  totally disappointed  ,-1
have a great food experience here have a relaxed dinning with a lot of masti service was soo good food was awesm all the items we ordered were so authentic  flavourful we enjoyed a lot,1
nice place to hang out with friends and family in the last  months i have already visited the place few times  ,1
have been visiting this place since  yearsfood is good but it still have room for improvement nice ambience,1
good and healthy  nice place for dine in,1
at st i rated  star  but since my last visit its decrease food quality is bad food preparation is too late tastes zero,-1
"now its good for food quality and its starter items are fabulous highly recommend
are you looking for a budget friendly restaurant for birthday celebration then go for it",1
"love the ambient to spend quality time with near and dear along with family

would recommend to visit the place to experience the vicinity with food",1
"ambiance is good 
food quality is same as other restaurants
but the price of food they charge is a little bit expensive",1
behaviour of the staff is so badi have never experienced such pathetic managementmost of the stuffs on the menu are not availablethey changed our booked table without any prior intimationquality of food is below standardon informing the waiter about the foodhe  rather blamed us for complaining,-1
worst experience ever first of all most of the items in the menu werent available and secondly the food was worst non of the items are preferable to eat taste was also not upto the mark,-1
good food hygiene place with well behave staff all over very good atmosphere nd peace place  ,1
mixing nonveg things in veg foodmake billing errors not recommended ever,-1
very nice place and clean service i went with my friends and mr akshya served us he is very nice and gentle person dc house has a very nice environment,1
"worst place for veg items
very bad service",-1
the food was very good and also the service overall good experience the dj was also amazing,1
ambience is vibrant dance stage is also available nice place to groove and spend time youngsters can consider going to this place,1
its wow i loved the floor very much ,1
food and ambience are simply perfect and superb good place to hangout with friends and couples,1
service was very bad,-1
good place but the chef has to be lil bit concious about the costumers taste and service should be more faster,1
"delay service
poor serve during afternoon
customer need to adjust if something happens",-1
starter items were excellent but totally dissatisfied in non veg main course items very wrost and motton items are not available all the times,-1
interior design is just wowfood quality is soo good and affordable alsoone of the most visited restaurant of berhampur,1
they are serving cake dipped in irregular gravy in the name of paneer kofta  ,0
dont go to stupid hotel very bed behiver   when you order chicken biriyani rate so high  no salet  jush,1
food was good but ac wasnt working and music was also too loud thats why gave  stars,1
interior is good but the food is taste less,1
such wonderful ambience  separate party room  dance floor lighting  photogenic place good food  service,1
the hospitality of this place was amazing nice to meet with mocktail specialist souvik and mrranjan ,1
"this place is good
food is also very good here and dj is also her
people here also behave well ",1
excellent environment friendly service food amazing n best place for purchasing cloth  quality of products are really awesome ,1
service is very good and food always very tasty  i am happy,1
nice experience  ,1
i just love it ur dishes loook like a black panther of berhampuriya food  nice service and good hygiene restaurant thanku,1
it is one of the best places to visit with friends and family you must try this place,1
"taste and dishes are very interesting
but availability and service in where they need to look upon",1
perfect ambiance to make ur day and a cuisine friendly place,1
the sound of the music system shouldve been a bit low everything is good,1
we had lunch here testy is good and good behaviour with us so although everything is good,1
ambience is too good but too late in order and the main  worst experience in food  taste,-1
service is very bad food quality poor,-1
food and service was good ambiance was also nice,1
a good platform to njoy n lighten up your mood with ur luved onesfood is okeish,1
foodambiance and service is worthy payingloved it,1
i have ordered biryani there which is total waste of money price is high but taste is very baf,-1
nice service food taste is also good,1
nice and food was goodbest place for hangout,1
nice dish,1
food was not that good but others factors are well and good,1
worst restaurant ever pathetic service poor staff behaviour terrible food must avoid this ,-1
overall it is good to spent time with your friends and family but service was little late,1
superb  mindblowingfoods was awesome and yummy,1
ok,1
"the eatables are worth money
awesome servicing good place to visit",1
"customer friendly
delicious food
must try chicken lollypop
fun  enjoy",1
nice food and service also good,1
"best service in berhampur best food
in dc house",1
interior design is goodbest place for celebrating any kind of occasion  ,1
this place is very amazingtestlyfood,0
make billing errors not recommended,-1
good place but very crowded and slow service on weekends,1
not quality of food some times raw and so time it stinck ,0
good environment,1
the atmosphere was cool and awesome,1
"nice ambience
but late serving",1
fabulous food and a geat service  ,1
best restaurant for couples,1
great ambiance  good food,1
interior great but food worst,-1
nice service and wonderful food,1
excellent ambience and hangout place,1
this place is good for chilling out with friends,1
good food good mood,1
very nice,1
"service is too late
",0
very bad service  ,-1
very nice,1
awesome,1
price wise it is a bit high,1
dj wale babu ko dj bajana hi nhi aata h h ,0
always give cheese,0
eight places  ,0
no idea,-1
"thank you for reviewing us we are humbled  pledge to keep up the good work
we would like to let you know that we are offering flat  off on everything this valentines week and it is applicable both for couples  singles we are also  more",1
thank you for reviewing us you inspire us to keep up our good work do follow us on instagram downtownfromdc and derniercrifromdc for latest updates and offers a recent offer is coming this week stay tuned have a great day ahead,1
nice place at berhampur,1
not god,-1
thank you for reviewing us it feels great and motivates us to improve our lifestyle hub even further also we would like to inform you that we also have happy hours on mon wed and sat pm to  pm please do follow us on facebook and  more,1
